side,signal_bar_date,entry_date,exit_date,entry_price,initial_stop,final_stop,tp1_price,tp2_price,tp3_price,shares_total,tp_hits,exit_reason,gross_pnl,total_fees,net_pnl,holding_days
long,2020-11-04,2020-11-05,2020-11-10,222.04,216.0607,222.04,228.0193,236.9882,239.9778,16,1,stop,35.8757,3.5706,32.3051,5
long,2021-01-07,2021-01-08,2021-01-12,218.68,214.3021,214.3021,223.0578,229.6246,231.8136,22,0,stop,-96.3128,4.7628,-101.0757,4
long,2021-01-20,2021-01-21,2021-01-25,224.7,219.9943,224.7,229.4057,236.4643,238.8171,21,1,stop,32.94,4.7352,28.2048,4
long,2021-03-05,2021-03-08,2021-03-18,231.37,225.7879,231.37,236.9521,245.3254,248.1164,17,1,stop,33.4929,3.95,29.5428,10
long,2021-05-14,2021-05-17,2021-05-19,246.55,241.1014,241.1014,251.9986,260.1714,262.8957,18,0,stop,-98.0743,4.3889,-102.4632,2
long,2021-05-24,2021-05-25,2021-06-02,251.77,246.6657,246.6657,256.8743,264.5307,267.0829,19,0,stop,-96.9814,4.7351,-101.7165,8
long,2021-09-21,2021-09-22,2021-09-28,296.73,292.1993,292.1993,301.2607,308.0568,310.3222,21,0,stop,-95.1451,6.1838,-101.3288,6
short,2022-02-10,2022-02-11,2022-02-25,303.19,313.8236,292.5564,292.5564,276.6061,271.2893,9,2,stop,143.5532,2.6569,140.8962,14
short,2022-06-27,2022-06-28,2022-07-06,263.98,271.6164,263.98,256.3436,244.8889,241.0707,16,1,stop,45.8186,4.2008,41.6178,8
short,2022-07-12,2022-07-13,2022-07-15,250.19,257.2514,257.2514,243.1286,232.5364,229.0057,23,0,stop,-162.4129,5.8356,-168.2485,2
short,2022-10-26,2022-10-27,2022-11-08,231.04,240.1779,231.04,221.9021,208.1953,203.6264,24,1,stop,73.1029,5.5084,67.5945,12
long,2022-11-10,2022-11-11,2022-12-07,242.99,233.9836,242.99,251.9964,265.5061,270.0093,31,1,stop,99.0707,7.5822,91.4885,26
short,2025-04-16,2025-04-17,2025-04-23,373.75,390.2271,373.75,357.2729,332.5571,324.3186,17,1,stop,98.8628,6.3043,92.5585,6
long,2025-10-13,2025-10-14,2025-10-27,510.23,502.1986,518.2614,518.2614,530.3086,534.3243,43,3,tp_complete,738.8904,22.3093,716.5811,13
